id,title,language,proportion,number,language_full
1592,"To Ethnico Vema = Greek National Tribune (Arncliffe, NSW : 1931 - 1954)",el,1.0,100,Modern Greek (1453-)
1185,"Tung Wah News (Sydney, NSW : 1898 - 1902)",zh,0.94,100,Chinese
1184,"Tung Wah Times (Sydney, NSW : 1901 - 1936)",zh,0.9263157894736842,100,Chinese
1599,"Uniamoci (Sydney, NSW : 1903 - 1904)",it,1.0,100,Italian
1593,"Vil'na Dumka = Free Thought (Sydney, NSW : 1949 - 1954)",uk,0.82,100,Ukrainian
1593,"Vil'na Dumka = Free Thought (Sydney, NSW : 1949 - 1954)",en,0.18,100,English
277,Adelaider Deutsche Zeitung (SA : 1851 - 1862),de,1.0,100,German
1876,Australijos Lietuvis = The Australian Lithuanian (SA : 1948 - 1956),lt,0.97,100,Lithuanian
1150,"Australische Zeitung (Adelaide, SA : 1875 - 1916)",de,1.0,100,German
1577,"Deutsche Zeitung fur Sud-Australien = German Times for South Australia (Tanunda, SA : 1851)",en,0.1,10,English
1577,"Deutsche Zeitung fur Sud-Australien = German Times for South Australia (Tanunda, SA : 1851)",de,0.9,10,German
1576,"Die Deutsche Post für die Australischen Colonien = The German Australian Post (Adelaide, SA : 1848 - 1851)",de,0.9895833333333334,100,German
1323,"Nasza droga (Adelaide, SA : 1952 - 1954)",pl,0.89,100,Polish
1323,"Nasza droga (Adelaide, SA : 1952 - 1954)",en,0.11,100,English
278,"Süd Australische Zeitung (Tanunda and Adelaide, SA : 1860 - 1874)",de,0.9896907216494846,100,German
314,"Suedaustralische Zeitung (Adelaide, SA : 1850 - 1851)",de,0.8888888888888888,18,German
314,"Suedaustralische Zeitung (Adelaide, SA : 1850 - 1851)",en,0.1111111111111111,18,English
1686,"Australier Leben = Australian Life (Melbourne, Vic. : 1931 - 1933)",yi,1.0,100,Yiddish
705,"Chinese Times (Melbourne, Vic. : 1902 - 1922)",zh,0.9183673469387755,100,Chinese
797,"Norden (Melbourne, Vic. : 1914 - 1918)",da,0.7528089887640449,100,Danish
797,"Norden (Melbourne, Vic. : 1914 - 1918)",en,0.06741573033707865,100,English
797,"Norden (Melbourne, Vic. : 1914 - 1918)",sv,0.11235955056179775,100,Swedish
1685,"The Australian Jewish News (Melbourne, Vic. : 1935 - 1999)",en,0.8105263157894737,100,English
1685,"The Australian Jewish News (Melbourne, Vic. : 1935 - 1999)",yi,0.15789473684210525,100,Yiddish
1777,"The Australian Jewish Post (St. Kilda, Vic. : 1966 - 1968)",yi,1.0,100,Yiddish
706,"The Chinese Advertiser (Ballarat, Vic. : 1856)",zh,0.5,10,Chinese
706,"The Chinese Advertiser (Ballarat, Vic. : 1856)",gd,0.16666666666666666,10,Scottish Gaelic
706,"The Chinese Advertiser (Ballarat, Vic. : 1856)",en,0.3333333333333333,10,English
685,The English and Chinese Advertiser (Vic. : 1856 - 1858),en,0.8947368421052632,22,English
685,The English and Chinese Advertiser (Vic. : 1856 - 1858),zh,0.05263157894736842,22,Chinese
685,The English and Chinese Advertiser (Vic. : 1856 - 1858),mt,0.05263157894736842,22,Maltese
1776,"The Jewish Post (Melbourne, Vic. : 1949 - 1966)",yi,0.98,100,Yiddish
1707,"The Jewish Weekly News (Melbourne, Vic. : 1933 - 1935)",en,0.81,100,English
1707,"The Jewish Weekly News (Melbourne, Vic. : 1933 - 1935)",yi,0.19,100,Yiddish
1383,"Chung Wah News (Perth, WA : 1981 - 1987)",zh,0.3888888888888889,100,Chinese
1383,"Chung Wah News (Perth, WA : 1981 - 1987)",en,0.5666666666666667,100,English
1385,"Der Australische Spiegel = The Australian Mirror (Perth, WA : 1952)",de,0.82,100,German
1385,"Der Australische Spiegel = The Australian Mirror (Perth, WA : 1952)",en,0.18,100,English
1384,"Echo : Polski Tygodnik Niezalezny (Perth, WA : 1950 - 1952)",pl,0.91,100,Polish
1384,"Echo : Polski Tygodnik Niezalezny (Perth, WA : 1950 - 1952)",en,0.09,100,English
1387,"Eco Italiano (Perth, WA : 1958 - 1959)",it,1.0,100,Italian
1389,"Hellenic Echo (Perth, WA : 1967 - 1968)",el,1.0,100,Modern Greek (1453-)
1378,"Il Canguro = The Kangaroo (Perth, WA : 1955 - 1957)",it,0.97,100,Italian
1386,"Japanese Perth Times (Subiaco, WA : 1989 - 1996)",ja,0.9375,100,Japanese
1388,"La Rondine (Perth, WA : 1970 - 1974; 1983 - 1984)",it,0.98,100,Italian
1390,"Mediterranean Voice (Perth, WA : 1971 - 1972)",es,0.061224489795918366,100,Spanish
1390,"Mediterranean Voice (Perth, WA : 1971 - 1972)",fr,0.08163265306122448,100,French
1390,"Mediterranean Voice (Perth, WA : 1971 - 1972)",en,0.22448979591836735,100,English
1390,"Mediterranean Voice (Perth, WA : 1971 - 1972)",el,0.35714285714285715,100,Modern Greek (1453-)
1390,"Mediterranean Voice (Perth, WA : 1971 - 1972)",pt,0.15306122448979592,100,Portuguese
1380,"Stampa Italiana = The Italian Press (Perth, WA : 1931 - 1932)",it,0.97,100,Italian
1379,"Sunday Times Edizione Italiana (Perth, WA : 1958 - 1959)",it,1.0,100,Italian
1381,"The Voice of Freedom = Elefthera Phoni (Perth, WA : 1956 - 1957)",el,0.98,100,Modern Greek (1453-)
1382,"Vesnik (Perth, WA : 1975 - 1994)",en,0.35714285714285715,100,English
1382,"Vesnik (Perth, WA : 1975 - 1994)",mk,0.40816326530612246,100,Macedonian
1382,"Vesnik (Perth, WA : 1975 - 1994)",bg-Latn,0.22448979591836735,100,Bulgarian
